Thorup Zwick Query	1000	2263	64	7.933277	1.000000	1.527463	948	0
Thorup Zwick Query	1000	2263	128	6.413339	1.000000	1.422911	2644	0
Thorup Zwick Query	1250	2813	2	2.999657	1.000000	1.191704	298	0
Thorup Zwick Query	1250	2813	4	5.223152	1.000000	1.367001	392	0
Thorup Zwick Query	1250	2813	8	5.887313	1.000000	1.342003	438	0
Thorup Zwick Query	1250	2813	16	6.776281	1.000000	1.457208	613	0
Thorup Zwick Query	1250	2813	32	7.258304	1.000000	1.383571	916	0
Thorup Zwick Query	1250	2813	64	6.441124	1.000000	1.490885	1541	0
Thorup Zwick Query	1250	2813	128	8.913924	1.000000	1.432605	2619	0
Thorup Zwick Query	1250	2821	2	2.999614	1.000000	1.172773	242	0
Thorup Zwick Query	1250	2821	4	5.777137	1.000000	1.224829	446	0
Thorup Zwick Query	1250	2821	8	6.429066	1.000000	1.304165	298	0
Thorup Zwick Query	1250	2821	16	6.968621	1.000000	1.554994	462	0
Thorup Zwick Query	1250	2821	32	7.224268	1.000000	1.338452	793	0
Thorup Zwick Query	1250	2821	64	6.868045	1.000000	1.539337	1980	0
Thorup Zwick Query	1250	2821	128	7.865169	1.000000	1.511056	3406	0
Thorup Zwick Query	1250	2821	2	2.999690	1.000000	1.173675	250	0
Thorup Zwick Query	1250	2821	4	5.541931	1.000000	1.305152	416	0
Thorup Zwick Query	1250	2821	8	5.718137	1.000000	1.321820	415	0
Thorup Zwick Query	1250	2821	16	6.325670	1.000000	1.422140	674	0
Thorup Zwick Query	1250	2821	32	6.867922	1.000000	1.471478	1334	0
Thorup Zwick Query	1250	2821	64	6.868251	1.000000	1.395060	1927	0
Thorup Zwick Query	1250	2821	128	7.840961	1.000000	1.507151	2394	0
Thorup Zwick Query	1250	2825	2	2.999243	1.000000	1.206706	344	0
Thorup Zwick Query	1250	2825	4	5.367379	1.000000	1.288167	586	0
Thorup Zwick Query	1250	2825	8	6.214180	1.000000	1.410317	549	0
Thorup Zwick Query	1250	2825	16	6.094314	1.000000	1.315689	891	0
Thorup Zwick Query	1250	2825	32	6.915872	1.000000	1.495128	1416	0
Thorup Zwick Query	1250	2825	64	8.057742	1.000000	1.308043	1544	0
Thorup Zwick Query	1250	2825	128	8.449927	1.000000	1.539951	3323	0
Thorup Zwick Query	1250	2817	2	2.998922	1.000000	1.196702	319	0
Thorup Zwick Query	1250	2817	4	5.143244	1.000000	1.315811	346	0
Thorup Zwick Query	1250	2817	8	5.401824	1.000000	1.479891	303	0
Thorup Zwick Query	1250	2817	16	8.129256	1.000000	1.295482	496	0
Thorup Zwick Query	1250	2817	32	7.627256	1.000000	1.479161	861	0
Thorup Zwick Query	1250	2817	64	6.658290	1.000000	1.341474	1439	0
Thorup Zwick Query	1250	2817	128	8.071102	1.000000	1.445161	2899	0
Thorup Zwick Query	1500	3380	2	2.999855	1.000000	1.197253	282	0
Thorup Zwick Query	1500	3380	4	5.834834	1.000000	1.261281	248	0
Thorup Zwick Query	1500	3380	8	6.892179	1.000000	1.347697	514	0
Thorup Zwick Query	1500	3380	16	7.448828	1.000000	1.358466	712	0
Thorup Zwick Query	1500	3380	32	7.385186	1.000000	1.401293	1252	0
Thorup Zwick Query	1500	3380	64	7.204402	1.000000	1.377576	1564	0
Thorup Zwick Query	1500	3380	128	7.572289	1.000000	1.414828	2488	0
Thorup Zwick Query	1500	3382	2	2.999908	1.000000	1.198666	236	0
Thorup Zwick Query	1500	3382	4	5.141296	1.000000	1.386491	411	0
Thorup Zwick Query	1500	3382	8	6.402806	1.000000	1.343933	475	0
Thorup Zwick Query	1500	3382	16	7.743751	1.000000	1.458988	768	0
Thorup Zwick Query	1500	3382	32	6.198783	1.000000	1.361698	1065	0
Thorup Zwick Query	1500	3382	64	7.377744	1.000000	1.399584	1788	0
Thorup Zwick Query	1500	3382	128	7.510717	1.000000	1.350359	3094	0
Thorup Zwick Query	1500	3397	2	2.999614	1.000000	1.140063	281	0
Thorup Zwick Query	1500	3397	4	5.660450	1.000000	1.430559	492	0
Thorup Zwick Query	1500	3397	8	7.712239	1.000000	1.281783	460	0
Thorup Zwick Query	1500	3397	16	7.462640	1.000000	1.398136	773	0
Thorup Zwick Query	1500	3397	32	6.569025	1.000000	1.349731	1219	0
Thorup Zwick Query	1500	3397	64	8.188791	1.000000	1.502966	1735	0
Thorup Zwick Query	1500	3397	128	7.460006	1.000000	1.438684	3492	0
