A*  (8)	5	5000	5867	25	0	140768	
BDD (8)	5	5000	5867	80	0	254157	
A*  (9)	5	5000	5867	25	1	167383	
BDD (9)	5	5000	5867	30	0	214288	
A*  (10)	5	5000	5867	25	0	166165	
BDD (10)	5	5000	5867	28	1	152872	
A*  (1)	6	5000	5867	25	0	166777	
BDD (1)	6	5000	5867	31	0	163767	
A*  (2)	6	5000	5867	25	0	155485	
BDD (2)	6	5000	5867	94	0	242079	
A*  (3)	6	5000	5867	25	0	115451	
BDD (3)	6	5000	5867	27	0	121177	
A*  (4)	6	5000	5867	25	0	127470	
BDD (4)	6	5000	5867	47	1	192352	
A*  (5)	6	5000	5867	25	0	147622	
BDD (5)	6	5000	5867	27	0	151310	
A*  (6)	6	5000	5867	25	1	172897	
BDD (6)	6	5000	5867	49	0	184378	
A*  (7)	6	5000	5867	25	0	164518	
BDD (7)	6	5000	5867	30	0	169570	
A*  (8)	6	5000	5867	25	0	166837	
BDD (8)	6	5000	5867	80	0	232891	
A*  (9)	6	5000	5867	25	0	122034	
BDD (9)	6	5000	5867	30	1	136007	
A*  (10)	6	5000	5867	25	0	115445	
BDD (10)	6	5000	5867	28	0	160932	
A*  (1)	7	5000	5867	25	0	161365	
BDD (1)	7	5000	5867	31	1	133618	
A*  (2)	7	5000	5867	25	0	105964	
BDD (2)	7	5000	5867	94	0	198875	
A*  (3)	7	5000	5867	25	0	104838	
BDD (3)	7	5000	5867	27	0	127944	
A*  (4)	7	5000	5867	25	1	93379	
BDD (4)	7	5000	5867	47	0	168821	
A*  (5)	7	5000	5867	25	0	112736	
BDD (5)	7	5000	5867	27	0	121021	
A*  (6)	7	5000	5867	25	0	97810	
BDD (6)	7	5000	5867	49	1	143230	
A*  (7)	7	5000	5867	25	0	118079	
BDD (7)	7	5000	5867	30	0	120645	
A*  (8)	7	5000	5867	25	0	90529	
BDD (8)	7	5000	5867	80	0	169179	
A*  (9)	7	5000	5867	25	1	89028	
BDD (9)	7	5000	5867	30	0	112001	
A*  (10)	7	5000	5867	25	0	108289	
BDD (10)	7	5000	5867	28	0	117160	
A*  (1)	8	5000	5867	25	0	97506	
BDD (1)	8	5000	5867	31	0	131791	
A*  (2)	8	5000	5867	25	1	97729	
BDD (2)	8	5000	5867	94	0	217716	
A*  (3)	8	5000	5867	25	0	173294	
BDD (3)	8	5000	5867	27	0	173428	
A*  (4)	8	5000	5867	25	0	167377	
BDD (4)	8	5000	5867	47	0	210368	
A*  (5)	8	5000	5867	25	0	153114	
BDD (5)	8	5000	5867	27	1	148128	
A*  (6)	8	5000	5867	25	0	118616	
BDD (6)	8	5000	5867	49	0	140257	
